SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8944568653149334
2;225;0.8962458419135118
3;216;0.8890508445511446
4;211;0.8847951114306254
5;205;0.879076864390616
6;199;0.8723080048760666
7;198;0.8778712059064808
8;196;0.8757861635220127
9;195;0.8833862433862434
10;195;0.8835978835978836
11;193;0.8905844155844156
12;193;0.8905844155844156
13;192;0.8938149972632732
14;191;0.8998892580287929
15;191;0.8998892580287929
16;191;0.8998892580287929
17;190;0.9007155635062611
18;190;0.9008273703041145
19;189;0.9061085972850679
20;187;0.9076124567474049
21;185;0.9074117647058824
22;179;0.9142857142857144
23;176;0.917184265010352
24;173;0.917736757624398
25;155;0.9136485580147552
26;134;0.9161904761904762
27;112;0.9131699210635646
28;106;0.9176829268292683
29;97;0.9151234567901234
30;92;0.8978675645342312
31;90;0.9025
32;86;0.9292929292929293
33;86;0.9292929292929293
34;83;0.924812030075188
35;81;0.8973684210526316
36;79;0.9216216216216215
ROC_AUC_SCORE weighted;0.8987574796077107;
F1_SCORE weighted;0.8333523316398996;
