SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.5853616582093404
2;227;0.5855411255411256
3;218;0.5997052592797274
4;213;0.609816653934301
5;207;0.616983016983017
6;200;0.6320346320346321
7;200;0.6346742688206103
8;198;0.7868412579156381
9;198;0.8471611033594505
10;198;0.8490930557046259
11;195;0.8516398855381905
12;195;0.8567026194144838
13;194;0.8593628593628594
14;192;0.8585526315789473
15;192;0.8585526315789473
16;192;0.8582123411978222
17;192;0.8582123411978222
18;192;0.8587794918330309
19;191;0.8583524027459953
20;191;0.8582379862700228
21;191;0.8582379862700228
22;190;0.8578024007386887
23;190;0.8578024007386887
24;189;0.8726315789473684
25;189;0.8726315789473684
26;189;0.8726315789473684
27;185;0.8720501474926254
28;184;0.871031746031746
29;182;0.8734848484848484
30;182;0.8734848484848485
31;178;0.8686344900944024
32;175;0.8677878042111019
33;172;0.8644939965694682
34;170;0.8631501831501832
35;168;0.8627362055933483
36;165;0.8683056686501722
37;160;0.8675277363801954
38;159;0.8676814988290398
39;157;0.8697062841530055
40;157;0.869535519125683
ROC_AUC_SCORE weighted;0.8105653758850896;
F1_SCORE weighted;0.8372607821643351;
