SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.686591554141223
2;227;0.6892640692640694
3;218;0.7036013631758312
4;213;0.7147631779984722
5;207;0.7295704295704296
6;200;0.7462781121317708
7;200;0.7404709112026185
8;198;0.8543522593109371
9;198;0.9105935386927122
10;198;0.9203606311044328
11;195;0.9209773277569888
12;195;0.9233986352630421
13;194;0.9335109335109335
14;192;0.9448729582577132
15;192;0.944986388384755
16;192;0.944986388384755
17;192;0.9450998185117967
18;192;0.9461206896551724
19;191;0.9456521739130435
20;191;0.9455377574370709
21;191;0.9456521739130435
22;190;0.9455216989843027
23;190;0.9455216989843027
24;189;0.9532163742690057
25;189;0.9532163742690057
26;189;0.9532163742690057
27;185;0.9529252704031465
28;184;0.9523809523809523
29;182;0.9551767676767677
30;182;0.9551767676767677
31;178;0.9543943624518018
32;175;0.9532403609515996
33;172;0.952401372212693
34;170;0.9525274725274725
35;168;0.9522297808012093
36;165;0.9511431255872221
37;160;0.949826130153999
38;159;0.9499832719973236
39;157;0.9583333333333335
40;157;0.9583333333333335
ROC_AUC_SCORE weighted;0.8974115228075868;
F1_SCORE weighted;0.9081287854434377;
