SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.9060344827586208
2;218;0.9449048356251707
3;203;0.9671294405879951
4;198;0.9760663759174555
5;191;0.9731012658227848
6;184;0.9661241711874623
7;183;0.9586173320350535
8;180;0.957638801854869
9;180;0.9593934076952
10;180;0.9621506454442913
11;178;0.962664620892469
12;178;0.9636875079913055
13;178;0.9622810382304054
14;176;0.9646352603419026
15;176;0.9646352603419026
16;175;0.9603489294210944
17;175;0.9592915675389901
18;175;0.9553264604810996
19;172;0.953125
20;170;0.9494650900900901
21;165;0.9455012077294687
22;139;0.9239234449760766
23;118;0.8535469107551488
24;107;0.8175122749590835
25;102;0.8071808510638299
26;101;0.7887537993920972
27;96;0.8055555555555555
28;95;0.8108614232209739
29;93;0.8227272727272728
30;92;0.7784090909090909
31;89;0.75
ROC_AUC_SCORE weighted;0.9286187722147822;
F1_SCORE weighted;0.6416798504319038;
