SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.849971708026837
2;227;0.8502686858817783
3;218;0.8451354411636617
4;213;0.8454150054367524
5;207;0.8397448105122833
6;200;0.8324729223605628
7;200;0.8324729223605628
8;198;0.83012060612308
9;198;0.83012060612308
10;198;0.83012060612308
11;195;0.8279626881492474
12;195;0.8279626881492474
13;194;0.8273943285179239
14;192;0.8251336315043089
15;192;0.8251336315043089
16;192;0.8251336315043089
17;192;0.8251336315043089
18;191;0.8278905560458959
19;190;0.8272058823529412
20;190;0.8272058823529412
21;190;0.8272058823529412
22;189;0.8265076507650765
23;189;0.8265076507650765
24;188;0.8257954545454546
25;188;0.8257954545454546
26;188;0.8257954545454546
27;184;0.8196022727272727
28;183;0.8177033492822966
29;180;0.8241255716227909
30;180;0.8241255716227909
31;175;0.8280637575124118
32;172;0.824905354245538
33;169;0.8215186326702157
34;166;0.8233841684822077
35;163;0.828963230861965
36;160;0.823778195488722
37;156;0.8149801587301587
38;155;0.8123742454728371
39;153;0.8090062111801242
40;153;0.8090062111801242
ROC_AUC_SCORE weighted;0.8280513109635625;
F1_SCORE weighted;0.7730713322669532;
