SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8839220758224882
2;227;0.8837322911577918
3;218;0.8774496995035276
4;213;0.8742297934034071
5;207;0.8685012378594553
6;200;0.8609170968721529
7;200;0.8609170968721529
8;198;0.8586743634676838
9;198;0.8586743634676838
10;198;0.8586743634676838
11;195;0.8546745813016748
12;195;0.8546745813016748
13;194;0.8532905296950242
14;192;0.8504418021162866
15;192;0.8504418021162866
16;192;0.8504418021162866
17;192;0.8504418021162866
18;191;0.8601059135039717
19;190;0.8587344028520498
20;190;0.8587344028520498
21;190;0.8587344028520498
22;189;0.8573357335733574
23;189;0.8573357335733574
24;188;0.8559090909090908
25;188;0.8559090909090908
26;188;0.8559090909090908
27;184;0.8499053030303029
28;183;0.8483253588516746
29;180;0.8540353479174392
30;180;0.8540353479174392
31;175;0.8538019336294749
32;172;0.8505949161709031
33;169;0.8477164471840852
34;166;0.8486564996368918
35;163;0.8485533453887883
36;160;0.8463345864661653
37;156;0.845734126984127
38;155;0.8443997317236754
39;153;0.8457556935817805
40;153;0.8457556935817805
ROC_AUC_SCORE weighted;0.8571197244251192;
F1_SCORE weighted;0.7356383106716159;
