SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4970088003283024
2;937;0.4970088003283024
3;937;0.4970088003283024
4;937;0.4970088003283024
5;937;0.4970088003283024
6;937;0.4970088003283024
7;937;0.4970088003283024
8;937;0.4970088003283024
9;937;0.4970088003283024
10;937;0.4970088003283024
11;937;0.4970088003283024
12;937;0.4970088003283024
13;937;0.4970088003283024
14;937;0.521385253750399
15;937;0.521385253750399
16;937;0.5741667046646299
17;916;0.583838461097195
18;915;0.6163526683468611
19;897;0.6222966555016747
20;895;0.64337958265098
21;872;0.6578093414192999
22;864;0.6646091764245835
23;830;0.674184499573904
24;814;0.6800599662999306
25;770;0.6843699222126188
26;752;0.680827505827506
27;706;0.6810691766728094
28;686;0.6790843211848921
29;642;0.7012026883622215
30;618;0.7143371319091443
31;582;0.7271148459383755
32;547;0.7381762089252405
33;509;0.727198642336257
34;483;0.7340041572184428
35;452;0.7376340102850171
36;424;0.7297349459598559
37;399;0.7335600907029478
38;382;0.7286501377410468
39;353;0.7420445956160242
40;337;0.7444069678080438
ROC_AUC_SCORE weighted;0.5946551381587727;
F1_SCORE weighted;0.37036709404669715;
