SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5504040470764386
2;937;0.5504040470764386
3;937;0.5504040470764386
4;937;0.5504040470764386
5;937;0.5504040470764386
6;937;0.5504040470764386
7;937;0.5504040470764386
8;937;0.5504040470764386
9;937;0.5504040470764386
10;937;0.5504040470764386
11;937;0.5504040470764386
12;937;0.5504040470764386
13;937;0.5504040470764386
14;937;0.6120900353403573
15;937;0.6142203652937873
16;937;0.6849038323920247
17;916;0.6721429930775269
18;915;0.7161016443165399
19;897;0.7090854893715224
20;895;0.7518943067354564
21;872;0.7608721815156986
22;864;0.7865204891212435
23;830;0.7855678740208718
24;814;0.8067083095060046
25;770;0.8230872116295189
26;752;0.8277261033049673
27;706;0.8371762589928058
28;686;0.8347559612273618
29;642;0.8425703231203595
30;618;0.8481927710843373
31;582;0.8495670794153245
32;547;0.8364055803376192
33;509;0.8342604460394771
34;483;0.8398591227970114
35;452;0.8286911231884059
36;424;0.7974076342110635
37;399;0.8081280345261643
38;382;0.81873331715603
39;353;0.8067566009454631
40;337;0.7782462635403813
ROC_AUC_SCORE weighted;0.6818262580566392;
F1_SCORE weighted;0.17179253079485335;
