SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5319769682156974
2;937;0.5319769682156974
3;937;0.5319769682156974
4;937;0.5319769682156974
5;937;0.5319769682156974
6;937;0.5319769682156974
7;937;0.5319769682156974
8;937;0.5319769682156974
9;937;0.5319769682156974
10;937;0.5319769682156974
11;937;0.5319769682156974
12;937;0.5319769682156974
13;937;0.5319769682156974
14;937;0.5945106846781385
15;937;0.5964015589391287
16;937;0.6789312019024341
17;916;0.6687798843875634
18;915;0.7184212411783671
19;897;0.7222204415497833
20;895;0.7600081461654835
21;872;0.7672790343704647
22;864;0.7840940006911816
23;830;0.7964714781887247
24;814;0.8123696828399243
25;770;0.8309560768922863
26;752;0.8356474007103649
27;706;0.832248201438849
28;686;0.8466652637670485
29;642;0.8521608580690458
30;618;0.8531124497991968
31;582;0.8513918629550322
32;547;0.8587094375929327
33;509;0.8541784157908229
34;483;0.8611047738550162
35;452;0.8480687111801243
36;424;0.8390691977954684
37;399;0.8475543966912426
38;382;0.8474884736714391
39;353;0.8339386602098466
40;337;0.8168106403400521
ROC_AUC_SCORE weighted;0.6788007000100941;
F1_SCORE weighted;0.16384185755650413;
