SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5542766236196892
2;937;0.5542766236196892
3;937;0.5542766236196892
4;937;0.5542766236196892
5;937;0.5542766236196892
6;937;0.5542766236196892
7;937;0.5542766236196892
8;937;0.5542766236196892
9;937;0.5542766236196892
10;937;0.5542766236196892
11;937;0.5542766236196892
12;937;0.5542766236196892
13;937;0.5542766236196892
14;937;0.6151176360493664
15;937;0.6172397089099537
16;937;0.687892900001101
17;916;0.6753514760805956
18;915;0.7178241763490679
19;897;0.7116688889458704
20;895;0.7542961325109585
21;872;0.7661746486850023
22;864;0.7896124236207619
23;830;0.7897812771980056
24;814;0.8107200985351692
25;770;0.827036288551094
26;752;0.8312779276511089
27;706;0.8304856115107914
28;686;0.8373074849078689
29;642;0.8412557326601038
30;618;0.8446954484605087
31;582;0.840135927753468
32;547;0.8378050380477564
33;509;0.8414509100230709
34;483;0.8406433582387498
35;452;0.826653079710145
36;424;0.8141865686874872
37;399;0.8260654558532637
38;382;0.8301625818975977
39;353;0.8124927937276605
40;337;0.7936720142602495
ROC_AUC_SCORE weighted;0.6851773195545195;
F1_SCORE weighted;0.16384185755650413;
