SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.48758133236450113
2;937;0.48758133236450113
3;937;0.48758133236450113
4;937;0.48758133236450113
5;937;0.48758133236450113
6;937;0.48758133236450113
7;937;0.48758133236450113
8;937;0.48758133236450113
9;937;0.48758133236450113
10;937;0.48758133236450113
11;937;0.48758133236450113
12;937;0.48758133236450113
13;937;0.48758133236450113
14;937;0.5517692197597737
15;937;0.5528068610936795
16;937;0.6407724235117968
17;916;0.6128856721459667
18;915;0.6923653320277515
19;897;0.6923510859252802
20;895;0.7394261478981601
21;872;0.7319493115287956
22;864;0.7707850793020536
23;830;0.7759331711959395
24;814;0.796199357761844
25;770;0.8025559167813804
26;752;0.8155499078192215
27;706;0.8299100719424461
28;686;0.8200715478805256
29;642;0.8388207526030385
30;618;0.8453229585006694
31;582;0.8443068615585141
32;547;0.8402650223038574
33;509;0.8445398615739553
34;483;0.8316888153767181
35;452;0.8318452380952381
36;424;0.8190242906715656
37;399;0.8235254450638374
38;382;0.8267896141713177
39;353;0.8080249048772051
40;337;0.7988482106129164
ROC_AUC_SCORE weighted;0.6460849484529482;
F1_SCORE weighted;0.16384185755650413;
