SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.49465215620217773
2;937;0.49465215620217773
3;937;0.49465215620217773
4;937;0.49465215620217773
5;937;0.49465215620217773
6;937;0.49465215620217773
7;937;0.49465215620217773
8;937;0.49465215620217773
9;937;0.49465215620217773
10;937;0.49465215620217773
11;937;0.49465215620217773
12;937;0.49465215620217773
13;937;0.49465215620217773
14;937;0.5469168015325164
15;937;0.509982825246887
16;937;0.5753267056401449
17;916;0.4760746485239194
18;915;0.5264111627240485
19;897;0.47743211364393956
20;895;0.5121707591450406
21;872;0.47550175215036633
22;864;0.47783439584114595
23;830;0.43797431288178884
24;814;0.43049311573483484
25;770;0.44052465610325187
26;752;0.4297447061151791
27;706;0.4248681055155875
28;686;0.39976063025265346
29;642;0.42067641654591353
30;618;0.3942938420348059
31;582;0.4091704682990411
32;547;0.409472579375492
33;509;0.41990515252499366
34;483;0.44002737694632976
35;452;0.42011193064182195
36;424;0.3763216983057767
37;399;0.4500539471318108
38;382;0.4528755156515408
39;353;0.46342096160498103
40;337;0.42002605237899354
ROC_AUC_SCORE weighted;0.4747995584750554;
F1_SCORE weighted;0.12369714769972331;
