SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5627247215645006
2;937;0.5627612616562893
3;937;0.5639268905843492
4;937;0.5689474991961179
5;937;0.5682422754245959
6;937;0.5605980882223977
7;937;0.5607150165161215
8;937;0.5610804174340086
9;937;0.561467742406969
10;937;0.5620085357654419
11;937;0.5621985442427431
12;937;0.562227776316174
13;937;0.562542021105557
14;937;0.566422578853518
15;937;0.5670035663129586
16;937;0.566535853138063
17;916;0.5645531400966184
18;915;0.5746485260770975
19;897;0.5744697405891598
20;895;0.5983934646234512
21;872;0.5964459930313589
22;864;0.6279286750984864
23;830;0.6153337890179995
24;814;0.6250742133386107
25;770;0.61673026648676
26;752;0.6381960443865682
27;706;0.6489522910482057
28;686;0.65897730879086
29;642;0.6612218530823182
30;618;0.6775167613490968
31;582;0.6912365177195686
32;547;0.6933396464646465
33;509;0.6856915353055495
34;483;0.6757895726281489
35;452;0.6498878085265519
36;424;0.6443539747160917
37;399;0.614456630109671
38;382;0.6332712532865907
39;353;0.6068407626208377
40;337;0.6303008070432868
ROC_AUC_SCORE weighted;0.5964362747583918;
F1_SCORE weighted;0.12674096887900765;
