SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5475021193253237
2;937;0.5468663217282002
3;937;0.5632545528954369
4;937;0.5619062235084334
5;937;0.561833143324856
6;937;0.5433182788155164
7;937;0.5415278143178696
8;937;0.5420539916396271
9;937;0.5410601011429741
10;937;0.5414255020608612
11;937;0.5419370633459031
12;937;0.5420101435294805
13;937;0.5401137127656465
14;937;0.5437348358619076
15;937;0.5444802537343973
16;937;0.5402598731328013
17;916;0.5399947161835749
18;915;0.5549848828420257
19;897;0.5528275314732107
20;895;0.5950188820573641
21;872;0.5951096536175446
22;864;0.6194609164420486
23;830;0.6068945089997722
24;814;0.6078944144449785
25;770;0.5932229296677348
26;752;0.6147450666132425
27;706;0.6298364158044443
28;686;0.6396315984343595
29;642;0.6465254706533776
30;618;0.6681764675776651
31;582;0.682810092449923
32;547;0.6702854437229437
33;509;0.6555954437486504
34;483;0.6525410452437649
35;452;0.6286649214659684
36;424;0.6201414184701093
37;399;0.5860667996011965
38;382;0.5846570990359333
39;353;0.5540413533834586
40;337;0.5560895084372708
ROC_AUC_SCORE weighted;0.5779523453123683;
F1_SCORE weighted;0.13429092542235016;
