SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5704529509778128
2;937;0.5704273729135607
3;937;0.5749400742494665
4;937;0.5787767838872812
5;937;0.5781994504370195
6;937;0.5710924025841153
7;937;0.5695723347657049
8;937;0.5685199801221901
9;937;0.5692069338478178
10;937;0.5702446724546172
11;937;0.5699304276652343
12;937;0.5687538367096379
13;937;0.5687136426086702
14;937;0.5730801835774211
15;937;0.5740923441199685
16;937;0.5741836943494402
17;916;0.5719957729468599
18;915;0.5813265306122448
19;897;0.5820987846438742
20;895;0.6092194375955806
21;872;0.6090469358475098
22;864;0.6393530997304583
23;830;0.6250125313283208
24;814;0.6332541724388152
25;770;0.623624346432788
26;752;0.6440393112736096
27;706;0.6532561576966551
28;686;0.663129429810642
29;642;0.668127845453427
30;618;0.6861831891772012
31;582;0.6989406779661016
32;547;0.699630230880231
33;509;0.6903611530986828
34;483;0.6792831181852362
35;452;0.6538893044128646
36;424;0.6512534818941503
37;399;0.6246261216350948
38;382;0.6370508326029798
39;353;0.6177161654135338
40;337;0.6352164343360235
ROC_AUC_SCORE weighted;0.6042913129989107;
F1_SCORE weighted;0.13499985092957964;
