SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5581023999532286
2;937;0.5581608641000906
3;937;0.551605571633196
4;937;0.5559319185009792
5;937;0.5545178169487562
6;937;0.5471257563799
7;937;0.5457956970387909
8;937;0.5442427431377708
9;937;0.5436836797334035
10;937;0.5414255020608612
11;937;0.5413999239966091
12;937;0.5405412318395744
13;937;0.5395436873337426
14;937;0.5442500511561286
15;937;0.5479515624543249
16;937;0.548601976088164
17;916;0.5476902173913043
18;915;0.5563983371126229
19;897;0.552706929552917
20;895;0.5902008364283262
21;872;0.5874892395982784
22;864;0.6126435828322621
23;830;0.5947550694919117
24;814;0.5969626718686682
25;770;0.5825813796593018
26;752;0.609775507251216
27;706;0.6280974797848687
28;686;0.6369671003914101
29;642;0.6427494770518026
30;618;0.662640530904004
31;582;0.6773016178736518
32;547;0.6825622294372294
33;509;0.6658389116821422
34;483;0.6561599197894473
35;452;0.6205497382198953
36;424;0.6168630812084852
37;399;0.5870388833499501
38;382;0.5838354513584575
39;353;0.5665279269602578
40;337;0.5658473954512105
ROC_AUC_SCORE weighted;0.5774015715302979;
F1_SCORE weighted;0.12674096887900765;
