SELECTED COLUMNS;
Work_Order_Qty
Activity_Turning & Milling - Machine 4
Resource_ID0998
Resource_ID4794
Resource.1_Machine 4 - Turning & Milling
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;44;0.5369047619047619
2;41;0.623015873015873
3;36;0.637123745819398
4;30;0.6625000000000001
5;25;0.7
6;22;0.7946428571428571
7;19;0.8571428571428572
8;18;0.8441558441558441
9;13;0.9
10;9;1.0
11;7;1.0
12;6;1.0
13;6;1.0
14;4;1.0
15;3;1.0
16;2;1.0
ROC_AUC_SCORE weighted;0.726812552647793;
F1_SCORE weighted;0.6072780201340395;
