SELECTED COLUMNS;
Work_Order_Qty
Activity_Turning & Milling - Machine 4
Resource_ID0998
Resource_ID4794
Resource.1_Machine 4 - Turning & Milling
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;44;0.4095238095238095
2;41;0.4285714285714286
3;36;0.41638795986622074
4;30;0.5325
5;25;0.6
6;22;0.6785714285714286
7;19;0.7142857142857143
8;18;0.7142857142857143
9;13;0.8250000000000001
10;9;1.0
11;7;1.0
12;6;1.0
13;6;1.0
14;4;1.0
15;3;1.0
16;2;1.0
ROC_AUC_SCORE weighted;0.5987283705361509;
F1_SCORE weighted;0.6072780201340395;
