SELECTED COLUMNS;
Work_Order_Qty
Activity_Turning & Milling - Machine 4
Resource_ID0998
Resource_ID4794
Resource.1_Machine 4 - Turning & Milling
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;44;0.41547619047619044
2;41;0.42460317460317465
3;36;0.4280936454849499
4;30;0.5225000000000001
5;25;0.5733333333333334
6;22;0.5982142857142857
7;19;0.6547619047619048
8;18;0.7142857142857143
9;13;0.825
10;9;1.0
11;7;1.0
12;6;1.0
13;6;1.0
14;4;1.0
15;3;1.0
16;2;1.0
ROC_AUC_SCORE weighted;0.586992001557219;
F1_SCORE weighted;0.46603079841163714;
