SELECTED COLUMNS;
Work_Order_Qty
Activity_Turning & Milling - Machine 4
Resource_ID0998
Resource_ID4794
Resource.1_Machine 4 - Turning & Milling
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;44;0.4833333333333333
2;41;0.48544973544973546
3;36;0.33612040133779264
4;30;0.41000000000000003
5;25;0.4066666666666667
6;22;0.5044642857142857
7;19;0.5357142857142857
8;18;0.6168831168831168
9;13;0.5875
10;9;0.5833333333333334
11;7;0.625
12;6;0.8333333333333334
13;6;1.0
14;4;0.5
15;3;1.0
16;2;1.0
ROC_AUC_SCORE weighted;0.5030887324670695;
F1_SCORE weighted;0.33205623969898496;
