SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6119104716227018
2;157;0.6358912869704236
3;157;0.609912070343725
4;157;0.6079136690647482
5;157;0.6031175059952039
6;157;0.6003197442046363
7;157;0.6534772182254197
8;157;0.6514788169464428
9;154;0.6470588235294117
10;152;0.6451077943615258
11;141;0.6365
12;129;0.691304347826087
13;109;0.7575757575757576
14;90;0.7682926829268293
15;78;0.7642857142857142
16;60;0.6759259259259259
17;49;0.6590909090909092
18;38;0.5694444444444444
19;36;0.6029411764705883
20;32;0.6166666666666667
21;28;0.596153846153846
22;24;0.5454545454545454
23;21;0.5263157894736843
24;19;0.5882352941176471
25;17;0.5
26;16;0.5714285714285714
27;16;0.5357142857142857
28;15;0.5384615384615384
29;13;0.5454545454545454
ROC_AUC_SCORE weighted;0.6410787820649032;
F1_SCORE weighted;0.056027514059725614;
