SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6919191919191918
2;157;0.6892255892255892
3;157;0.6892255892255892
4;157;0.6888888888888889
5;156;0.7248677248677248
6;155;0.7140740740740742
7;154;0.7052631578947368
8;154;0.7118908382066278
9;143;0.6799336650082919
10;135;0.7523076923076923
11;124;0.6639118457300276
12;113;0.6272727272727272
13;97;0.5602836879432624
ROC_AUC_SCORE weighted;0.6893774733753214;
F1_SCORE weighted;0.23326859907783726;
