SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6762626262626263
2;157;0.6732323232323233
3;157;0.6745791245791245
4;157;0.6715488215488215
5;156;0.7024691358024692
6;155;0.6924074074074075
7;154;0.6795321637426901
8;154;0.6799220272904484
9;143;0.6252072968490878
10;135;0.6692307692307693
11;124;0.581267217630854
12;113;0.5606060606060607
13;97;0.5035460992907801
ROC_AUC_SCORE weighted;0.6527689414344923;
F1_SCORE weighted;0.19912487187664737;
