SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6907407407407408
2;157;0.6863636363636363
3;157;0.6656565656565656
4;157;0.663973063973064
5;156;0.6485008818342152
6;155;0.643888888888889
7;154;0.6243664717348928
8;154;0.6341130604288499
9;143;0.6475953565505804
10;135;0.5084615384615385
11;124;0.5289256198347108
12;113;0.5227272727272727
13;97;0.5141843971631206
ROC_AUC_SCORE weighted;0.6215768107777944;
F1_SCORE weighted;0.08355322235435433;
