SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.4446127946127947
2;157;0.4353535353535354
3;157;0.42390572390572395
4;157;0.44343434343434346
5;156;0.46631393298059964
6;155;0.4644444444444444
7;154;0.5031189083820662
8;154;0.4705653021442495
9;143;0.4295190713101161
10;135;0.48461538461538456
11;124;0.5068870523415978
12;113;0.5060606060606061
13;97;0.5070921985815602
ROC_AUC_SCORE weighted;0.46534665174290524;
F1_SCORE weighted;0.0;
