SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.7421679197994988
2;157;0.7597117794486217
3;157;0.7493734335839599
4;157;0.7713032581453635
5;157;0.775375939849624
6;157;0.774436090225564
7;157;0.7734962406015039
8;154;0.7766025641025641
9;152;0.7727864583333333
10;142;0.7786016949152542
11;129;0.7567678424938474
12;109;0.7290192113245701
13;93;0.7751552795031055
14;82;0.7517564402810305
15;61;0.7032085561497325
16;51;0.7267857142857141
17;40;0.7554945054945055
18;38;0.8184615384615385
19;35;0.7954545454545454
20;28;0.725
21;25;0.75
22;21;0.7244897959183674
ROC_AUC_SCORE weighted;0.7618992699199926;
F1_SCORE weighted;0.8983385580815966;
