SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.7119360902255638
2;157;0.7213345864661654
3;157;0.7161654135338347
4;157;0.7349624060150376
5;157;0.7346491228070176
6;157;0.731829573934837
7;157;0.7305764411027569
8;154;0.7266025641025641
9;152;0.72265625
10;142;0.7312853107344633
11;129;0.7042657916324856
12;109;0.6789686552072801
13;93;0.7149068322981367
14;82;0.6916471506635441
15;61;0.6056149732620321
16;51;0.5875
17;40;0.6043956043956044
18;38;0.6646153846153846
19;35;0.6515151515151516
20;28;0.5249999999999999
21;25;0.5441176470588235
22;21;0.5
ROC_AUC_SCORE weighted;0.7035735925115015;
F1_SCORE weighted;0.8994634034599792;
